element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,playername,web_name,position
283,39,13,-1,FALSE,2023-09-02T14:00:00Z,5,1,4,90,0,0,0,5,0,0,0,1,0,0,0,8,7.8,1.0,0.0,0.9,1,0.00,0.01,0.01,2.26,45,-3983,62970,1845,5828,Antonee Robinson,Robinson,DEF
284,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,36955,0,0,Marek Rodák,Rodák,GKP
284,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1029,39143,970,1999,Marek Rodák,Rodák,GKP
284,21,1,-1,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1954,37768,457,2411,Marek Rodák,Rodák,GKP
284,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1995,36437,498,2493,Marek Rodák,Rodák,GKP
285,5,9,5,FALSE,2023-08-12T14:00:00Z,0,1,1,90,0,0,1,0,0,0,0,1,0,0,0,24,24.2,16.6,0.0,4.1,1,0.00,0.02,0.02,2.73,45,0,51675,0,0,Kenny Tete,Tete,DEF
285,13,4,1,TRUE,2023-08-19T14:00:00Z,0,3,2,85,0,0,0,2,0,0,0,0,0,0,0,19,15.4,3.5,0.0,1.9,1,0.00,0.07,0.07,2.54,45,3145,62758,5892,2747,Kenny Tete,Tete,DEF
285,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,1,0,0,0,1,8.6,0.7,0.0,0.9,1,0.00,0.00,0.00,3.25,45,-4814,59146,1666,6480,Kenny Tete,Tete,DEF
285,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,72,0,0,0,4,0,0,0,0,0,0,0,5,6.8,0.9,4.0,1.2,1,0.00,0.00,0.00,2.07,45,-4709,55610,1455,6164,Kenny Tete,Tete,DEF
286,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,6786,0,0,Tosin Adarabioyo,Tosin,DEF
286,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-886,7142,115,1001,Tosin Adarabioyo,Tosin,DEF
286,21,1,1,FALSE,2023-08-26T14:00:00Z,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,5,12.0,0.0,0.0,1.2,0,0.00,0.00,0.00,0.67,44,-753,6790,120,873,Tosin Adarabioyo,Tosin,DEF
286,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-417,6593,148,565,Tosin Adarabioyo,Tosin,DEF
287,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,366547,0,0,Carlos Vinícius Alves Morais,Vinícius,FWD
287,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-53787,325260,9005,62792,Carlos Vinícius Alves Morais,Vinícius,FWD
287,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-66120,263176,4398,70518,Carlos Vinícius Alves Morais,Vinícius,FWD
287,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-40098,225413,2548,42646,Carlos Vinícius Alves Morais,Vinícius,FWD
288,5,9,3,FALSE,2023-08-12T14:00:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,13,10.8,32.9,5.0,4.9,1,0.07,0.20,0.27,2.73,55,0,15157,0,0,Harry Wilson,Wilson,MID
